=== T2 ESCUCHANDO (esperando a T1)... ===
[23:08:53] frame=0 W=1.0 angZ=0.07 | L=True/14.0 R=True/3.8 | DE_PIE
[23:08:55] frame=19 W=0.679 angZ=0.142 | L=False/0.0 R=True/0.0 | CAYENDO
[23:08:56] frame=39 W=0.671 angZ=0.053 | L=False/0.0 R=False/0.0 | CAYENDO
[23:08:57] frame=59 W=0.671 angZ=0.034 | L=False/0.0 R=False/0.0 | CAYENDO
[23:08:59] frame=79 W=0.671 angZ=0.048 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:00] frame=99 W=0.671 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:01] frame=119 W=0.671 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:03] frame=139 W=0.672 angZ=0.112 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:04] frame=159 W=0.672 angZ=0.056 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:06] frame=179 W=0.672 angZ=0.061 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:07] frame=199 W=0.672 angZ=0.022 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:08] frame=219 W=0.672 angZ=0.054 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:10] frame=239 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:11] frame=259 W=0.672 angZ=0.022 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:12] frame=279 W=0.672 angZ=0.051 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:14] frame=299 W=0.672 angZ=0.054 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:15] frame=319 W=0.672 angZ=0.024 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:17] frame=339 W=0.672 angZ=0.054 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:18] frame=359 W=0.672 angZ=0.055 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:19] frame=379 W=0.672 angZ=0.011 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:21] frame=399 W=0.672 angZ=0.061 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:22] frame=419 W=0.672 angZ=0.041 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:23] frame=439 W=0.672 angZ=0.041 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:25] frame=459 W=0.672 angZ=0.089 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:26] frame=479 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:28] frame=499 W=0.672 angZ=0.034 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:29] frame=519 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:30] frame=539 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:32] frame=559 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:33] frame=579 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:34] frame=599 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:36] frame=619 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:37] frame=639 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:39] frame=659 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:40] frame=679 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:41] frame=699 W=0.672 angZ=0.059 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:43] frame=719 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:44] frame=739 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:46] frame=759 W=0.672 angZ=0.059 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:47] frame=779 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:48] frame=799 W=0.672 angZ=0.029 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:50] frame=819 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:51] frame=839 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:52] frame=859 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:54] frame=879 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:55] frame=899 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:57] frame=919 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:58] frame=939 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:09:59] frame=959 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:01] frame=979 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:02] frame=999 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:03] frame=1019 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:05] frame=1039 W=0.672 angZ=0.034 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:06] frame=1059 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:08] frame=1079 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:09] frame=1099 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:10] frame=1119 W=0.672 angZ=0.031 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:12] frame=1139 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:13] frame=1159 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:14] frame=1179 W=0.672 angZ=0.058 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:16] frame=1199 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:17] frame=1219 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:19] frame=1239 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:20] frame=1259 W=0.672 angZ=0.022 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:21] frame=1279 W=0.672 angZ=0.06 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:23] frame=1299 W=0.672 angZ=0.057 | L=False/0.0 R=False/0.0 | CAYENDO
[23:10:24] frame=1319 W=0.672 angZ=0.03 | L=False/0.0 R=False/0.0 | CAYENDO
