CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
FALLEN_DIRECT,001,4JP3-FALLEN_DIRECT-001-4f67,R2,wait_for_primary_restore,REC-AUTO,1006.206,,,,PASS
FALLEN_DIRECT,002,4JP3-FALLEN_DIRECT-002-2786,R2,wait_for_primary_restore,REC-AUTO,1005.62,,,,PASS
FALLEN_DIRECT,003,4JP3-FALLEN_DIRECT-003-f2b0,R2,wait_for_primary_restore,REC-AUTO,1005.711,,,,PASS
FALLEN_DIRECT,004,4JP3-FALLEN_DIRECT-004-d0a9,R2,,,3.724,,,,FAIL-VALIDATION_FAIL
FALLEN_DIRECT,005,4JP3-FALLEN_DIRECT-005-589e,R2,,,3.544,,,,FAIL-VALIDATION_FAIL
FALLEN_DIRECT,006,4JP3-FALLEN_DIRECT-006-5feb,R2,,,3.756,,,,FAIL-VALIDATION_FAIL
FALLEN_DIRECT,007,4JP3-FALLEN_DIRECT-007-2b3d,R2,,,3.714,,,,FAIL-VALIDATION_FAIL
FALLEN_DIRECT,008,4JP3-FALLEN_DIRECT-008-cc21,R2,,,3.609,,,,FAIL-VALIDATION_FAIL
FALLEN_DIRECT,009,4JP3-FALLEN_DIRECT-009-d1d3,R2,,,3.973,,,,FAIL-VALIDATION_FAIL
FALLEN_DIRECT,010,4JP3-FALLEN_DIRECT-010-a2ed,R2,,,3.821,,,,FAIL-VALIDATION_FAIL
