CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
FREEZE,001,4JP3-FREEZE-001-8f48,R3,request_operator_intervention,REC-MANUAL,3.772,,,,PASS
FREEZE,002,4JP3-FREEZE-002-e56f,R3,request_operator_intervention,REC-MANUAL,3.527,,,,PASS
FREEZE,003,4JP3-FREEZE-003-424f,R3,request_operator_intervention,REC-MANUAL,3.586,,,,PASS
FREEZE,004,4JP3-FREEZE-004-8211,R3,request_operator_intervention,REC-MANUAL,3.764,,,,PASS
FREEZE,005,4JP3-FREEZE-005-3be0,R3,request_operator_intervention,REC-MANUAL,3.811,,,,PASS
FREEZE,006,4JP3-FREEZE-006-13ac,R3,request_operator_intervention,REC-MANUAL,3.626,,,,PASS
FREEZE,007,4JP3-FREEZE-007-3d17,R3,request_operator_intervention,REC-MANUAL,3.804,,,,PASS
FREEZE,008,4JP3-FREEZE-008-9992,R3,request_operator_intervention,REC-MANUAL,3.764,,,,PASS
FREEZE,009,4JP3-FREEZE-009-e8b1,R3,request_operator_intervention,REC-MANUAL,3.641,,,,PASS
FREEZE,010,4JP3-FREEZE-010-b9e9,R3,request_operator_intervention,REC-MANUAL,3.957,,,,PASS
