CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
NANINF,001,4JP3-NANINF-001-88b8,R3,request_operator_intervention,REC-MANUAL,3.848,,,,PASS
NANINF,002,4JP3-NANINF-002-ad46,R3,request_operator_intervention,REC-MANUAL,3.765,,,,PASS
NANINF,003,4JP3-NANINF-003-15e3,R3,request_operator_intervention,REC-MANUAL,3.603,,,,PASS
NANINF,004,4JP3-NANINF-004-e820,R3,request_operator_intervention,REC-MANUAL,4.018,,,,PASS
NANINF,005,4JP3-NANINF-005-43d5,R3,request_operator_intervention,REC-MANUAL,3.752,,,,PASS
NANINF,006,4JP3-NANINF-006-160d,R3,request_operator_intervention,REC-MANUAL,3.599,,,,PASS
NANINF,007,4JP3-NANINF-007-4a7a,R3,request_operator_intervention,REC-MANUAL,3.485,,,,PASS
NANINF,008,4JP3-NANINF-008-b07a,R3,request_operator_intervention,REC-MANUAL,3.883,,,,PASS
NANINF,009,4JP3-NANINF-009-bdc3,R3,request_operator_intervention,REC-MANUAL,3.601,,,,PASS
NANINF,010,4JP3-NANINF-010-e219,R3,request_operator_intervention,REC-MANUAL,4.212,,,,PASS
