CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
STALE,001,4JP3-STALE-001-6ee4,R2,wait_for_primary_restore,REC-AUTO,1005.772,,,,PASS
STALE,002,4JP3-STALE-002-384b,R2,,,,,,,FAIL-TOPO_FAIL
STALE,003,4JP3-STALE-003-9c13,R2,,,,,,,FAIL-TOPO_FAIL
STALE,004,4JP3-STALE-004-03b4,R2,,,,,,,FAIL-TOPO_FAIL
STALE,005,4JP3-STALE-005-7834,R2,,,,,,,FAIL-TOPO_FAIL
STALE,006,4JP3-STALE-006-3a61,R2,,,,,,,FAIL-TOPO_FAIL
STALE,007,4JP3-STALE-007-e491,R2,,,,,,,FAIL-TOPO_FAIL
STALE,008,4JP3-STALE-008-8c3d,R2,wait_for_primary_restore,REC-AUTO,1005.742,,,,PASS
STALE,009,4JP3-STALE-009-fab3,R2,,,,,,,FAIL-TIMEOUT_RECOVERY
STALE,010,4JP3-STALE-010-056f,R2,wait_for_primary_restore,REC-AUTO,1006.038,,,,PASS
