CASE,RUN,EVENT_ID,ROUTE,ACTION,RECOVERY_TYPE,LATENCY_MS,T_EVENT_TO_ACTION_MS,T_ACTION_TO_RECOVERY_MS,T_EVENT_TO_RECOVERY_MS,RESULT
TIMESTAMP,001,4JP3-TIMESTAMP-001-03a9,R3,request_operator_intervention,REC-MANUAL,4.012,,,,PASS
TIMESTAMP,002,4JP3-TIMESTAMP-002-7c9a,R3,request_operator_intervention,REC-MANUAL,4.628,,,,PASS
TIMESTAMP,003,4JP3-TIMESTAMP-003-cd3c,R3,request_operator_intervention,REC-MANUAL,3.72,,,,PASS
TIMESTAMP,004,4JP3-TIMESTAMP-004-60b4,R3,request_operator_intervention,REC-MANUAL,3.858,,,,PASS
TIMESTAMP,005,4JP3-TIMESTAMP-005-4d5f,R3,request_operator_intervention,REC-MANUAL,3.665,,,,PASS
TIMESTAMP,006,4JP3-TIMESTAMP-006-d76d,R3,request_operator_intervention,REC-MANUAL,3.845,,,,PASS
TIMESTAMP,007,4JP3-TIMESTAMP-007-9535,R3,request_operator_intervention,REC-MANUAL,3.686,,,,PASS
TIMESTAMP,008,4JP3-TIMESTAMP-008-3eeb,R3,request_operator_intervention,REC-MANUAL,3.878,,,,PASS
TIMESTAMP,009,4JP3-TIMESTAMP-009-2d13,R3,request_operator_intervention,REC-MANUAL,3.722,,,,PASS
TIMESTAMP,010,4JP3-TIMESTAMP-010-083e,R3,request_operator_intervention,REC-MANUAL,3.596,,,,PASS
